occupation,relative_ai_exposure,projected_employment_growth_percent,period,story_role
Nurse practitioners,High,41.0,2025-2035,High-exposure projected-growth example
Data scientists,Very high,34.6,2025-2035,High-exposure projected-growth example
Medical and health services managers,High,24.2,2025-2035,High-exposure projected-growth example
Computer and information research scientists,Very high,21.8,2025-2035,High-exposure projected-growth example
Information security analysts,Very high,21.0,2025-2035,High-exposure projected-growth example
Word processors and typists,Very high,-34.4,2025-2035,High-exposure projected-decline example
Telephone operators,High,-27.6,2025-2035,High-exposure projected-decline example
Switchboard operators, including answering service,Very high,-26.0,2025-2035,High-exposure projected-decline example
Data entry keyers,Very high,-25.5,2025-2035,High-exposure projected-decline example
Telemarketers,Very high,-21.4,2025-2035,High-exposure projected-decline example
